Code, Color, Display scale (meters)
5111, Bold orange, 1000
5112, Bold orange, 1000
5113, SemiBold yellow, 1000
5114, Semibold yellow, 1000
5115, Thin gray, 500
5121, Thin gray, 100
5122, Thin gray, 100
5123, Thin gray, 100
5124, Thin gray, 100
5125, Thin gray, 100
5131, Bold orange, 500
5132, Bold orange, 500
5133, SemiBold yellow, 500
5134, SemiBold yellow, 500
5135, Thin gray, 500
5141, Thin gray, 50
5142, Thin Gray, 50
5143, Thin Gray, 50
5144, Thin Gray, 50
5145, Thin Gray, 50
5146, Thin Gray, 50
5147, Thin Gray, 50
5151, Thin Gray, 20
5152, Thin Gray, 20
5153, Thin Gray, 20
5154, Thin Gray, 20
5155, Thin Gray, 20
5199, Thin Gray, 20
