Code ;fclass ;Color ;LOD;Layer ;OSM_Tags ;Description ;Remap _Code;Remap _Color;Remap _LOD
5111; motorway ;Orange;1000; roads ; highway=motorway ; Motorway/freeway ;5111;Orange;1000
5112; trunk ;Orange;1000; roads ; highway=trunk ; Important roads, typically divided ;5112;Orange;1000
5113; primary ;Yellow ;1000; roads ; highway=primary ; Primary roads, typically national. ;5113;Yellow ;1000
5114; secondary ;Yellow ;1000; roads ; highway=secondary ; Secondary roads, typically regional. ;5114;Yellow ;1000
5115; tertiary ;Gray;500; roads ; highway=tertiary ; Tertiary roads, typically local. ;5115;Gray;500
5121; unclassified ;Gray;100; roads ; highway=unclassified ; Smaller local roads ;5121;Gray;100
5122; residential ;Gray;100; roads ; highway=residential ; Roads in residential areas ;5122;Gray;100
5123; living_street ;Gray;100; roads ; highway=living_street ; Streets where pedestrians have priority ;5123;Gray;100
5124; pedestrian ;Gray;100; roads ; highway=pedestrian ; Pedestrian only streets ;5124;Gray;100
5125; busway ;Gray;100; roads ; highway=busway ; Dedicated roads for bus, usually closed for any mode of transport except public transport. ;5125;Gray;100
5131; motorway_link ;Orange;500; roads ; highway=motorway_link ; Roads that connect from one road to another of the same of lower category.  ;5131;Orange;500
5132; trunk_link ;Orange;500; roads ; highway=trunk_link ; Roads that connect from one road to another of the same of lower category. ;5132;Orange;500
5133; primary_link ;Yellow ;500; roads ; highway=primary_link ; Roads that connect from one road to another of the same of lower category.  ;5133;Yellow ;500
5134; secondary_link ;Yellow ;500; roads ; highway=secondary_link ; Roads that connect from one road to another of the same of lower category.  ;5134;Yellow ;500
5135; tertiary_link ;Gray;500; roads ; highway=tertiary_link ; Roads that connect from one road to another of the same of lower category. ;5135;Gray;500
5141; service ;Gray;50; roads ; highway=service ; Service roads for access to buildings, parking lots, etc.  ;5141;Gray;50
5142; track ;Gray;50; roads ; highway=track without tracktype specification ; For agricultural use, in forests, etc. Often gravel roads.  ;5142;Gray;50
5143; track_grade1 ;Gray;50; roads ; ... with tracktype=grade1 ;" Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible).  ";5143;Gray;50
5144; track_grade2 ;Gray;50; roads ; ... with tracktype=grade2 ;" Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible).  ";5144;Gray;50
5145; track_grade3 ;Gray;50; roads ; ... with tracktype=grade3 ;" Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible). ";5145;Gray;50
5146; track_grade4 ;Gray;50; roads ; ... with tracktype=grade4 ;" Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible).  ";5146;Gray;50
5147; track_grade5 ;Gray;50; roads ; ... with tracktype=grade5 ;" Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible).  ";5147;Gray;50
5151; bridleway ;Gray;20; roads ; highway=bridleway or highway=path with horse=designated ; Paths for horse riding ;5151;Gray;20
5152; cycleway ;Gray;20; roads ; highway=cycleway or highway=path with cycle=designated ; Paths for cycling  ;5152;Gray;20
5153; footway ;Gray;20; roads ; highway=footway or highway=path with foot=designated ; Footpaths  ;5153;Gray;20
5154; path ;Gray;20; roads ; highway=path without cycle/foot/horse=designated ; Unspecified paths  ;5154;Gray;20
5155; steps ;Gray;20; roads ; highway=steps ; Flights of steps on footpaths ;5155;Gray;20
5199; unknown ;Gray;20; roads ; highway=road ; Unknown type of road or path  ;5199;Gray;20
7201; forest ; Green ;500; landuse ; landuse=forest, natural=wood ; A forest or woodland.  ;7201; Green ;500
7202; park ; Green ;500; landuse ; leisure=park, leisure=common ; A park.  ;7202; Green ;500
7203; residential ; Green ;500; landuse ; landuse=residential ; A residential area.  ;7203; Green ;500
7204; industrial ; Light-green ;500; landuse ; landuse=industrial ; An industrial area.  ;7204; Light-green ;500
7206; cemetery ; Light-green ;500; landuse ; landuse=cemetery ; A cemetery or graveyard. ;7206; Light-green ;500
7207; allotments ; Light-green ;500; landuse ; landuse=allotments ; An area with small private gardens.  ;7207; Light-green ;500
7208; meadow ; Light-green ;500; landuse ; landuse=meadow ; A meadow [cite: 16] ;7208; Light-green ;500
7209; commercial ; Light-green ;500; landuse ; landuse=commercial ; A commercial area.  ;7209; Light-green ;500
7210; nature_reserve ; Pink ;500; landuse ; leisure=nature_reserve ; Nature reserves.  ;7210; Pink ;500
7211; recreation_ground ; Light-green ;500; landuse ; leisure=recreation_ground or landuse_recreation_ground ; An open green space for general recreation. [cite: 17] ;7211; Light-green ;500
7212; retail ; Light-green ;500; landuse ; landuse=retail ; An area mainly used by shops.  ;7212; Light-green ;500
7213; military ; Light-green ;500; landuse ; landuse=military ; Military landuse ;7213; Light-green ;500
7214; quarry ; Light-green ;500; landuse ; landuse=quarry ; A quarry.  ;7214; Light-green ;500
7215; orchard ; Light-green ;500; landuse ; landuse=orchard ; An area used for growing fruit-bearing trees.  ;7215; Light-green ;500
7216; vineyard ; Light-green ;500; landuse ; landuse=vineyard ; An area used for growing grapes.  ;7216; Light-green ;500
7217; scrub ; Light-green ;500; landuse ; landuse=scrub ; An area where scrub grows.  ;7217; Light-green ;500
7218; grass ; Light-green ;500; landuse ; landuse=grass ; An area where grass grows.  ;7218; Light-green ;500
7219; heath ; Light-green ;500; landuse ; natural=heath ; Heath areas.  ;7219; Light-green ;500
7228; farmland ; Light-green ;500; landuse ; landuse=farmland ; Agricultural land (areas where crops are grown)  ;7228; Light-green ;500
7229; farmyard ; Light-green ;500; landuse ; landuse=farmyard ; Area of land with farm buildings and the shrubbery/trees around them.  ;7229; Light-green ;500
7233; landfill ; Light-green ;500; landuse ; landuse=landfill ; A site for permanent or long term storage of waste materials.  ;7233; Light-green ;500
8200; water ; Blue ;1000; water ; natural=water ; Unspecified bodies of water.  ;8200; Blue ;1000
8201;reservoir; Blue ;1000; water ;landuse=reservoir, natural=water + water=reservoir;Artificial lakes, typically above a dam. ;8201; Blue ;1000
8202;river; Blue ;1000; water ;waterway=riverbank, natural=water + water=river;Polygons for larger rivers. ;8202; Blue ;1000
8203;dock; Blue ;1000; water ;Dock (to repair ships);waterway=dock;8203; Blue ;1000
8211;glacier; Blue ;1000; water ;Glaciers;natural=glacier;8211; Blue ;1000
8221;wetland; Blue ;1000; water ;Wetland;natural=wetland;8221; Blue ;1000
