code;fclass;Color;LOD;Layer;Description;OSM Tags
1001;city;;;pois;As defined by national/state/provincial government. Often over 100,000 people;place=city (but see 1005)
1002;town;;;pois;As defined by national/state/provincial government. Generally smaller than a city, between 10,000 and 100,000 people;place=town
1003;village;;;pois;As defined by national/state/provincial government. Generally smaller than a town, below 10,000 people;place=village
1004;hamlet;;;pois;As defined by national/state/provincial government. Generally smaller than a village, just a few houses;place=hamlet
1005;national_capital;;;pois;A national capital;place=city with either of (a) is_capital=country, (b) admin_level=2, (c) capital=yes and no admin level set
1010;suburb;;;pois;Named area of town or city;place=suburb
1020;island;;;pois;Identifies an island;place=island
1030;farm;;;pois;Named farm;place=farm
1031;dwelling;;;pois;Isolated dwelling (1 or 2 houses, smaller than hamlet);place=isolated_dwelling
1040;region;;;pois;A region label (used in some areas only);place=region
1041;county;;;pois;A county label (used in some areas only);place=county
1050;locality;;;pois;Other kind of named place;place=locality
2001;police;;;pois;A police post or station.;amenity=police
2002;fire_station;;;pois;A fire station.;amenity=fire_station
2004;post_box;;;pois;A post box (for letters).;amenity=post_box
2005;post_office;;;pois;A post office.;amenity=post_office
2006;telephone;;;pois;A public telephone booth.;amenity=telephone
2007;library;;;pois;A library.;amenity=library
2008;town_hall;;;pois;A town hall.;amenity=townhall
2009;courthouse;;;pois;A court house.;amenity=courthouse
2010;prison;;;pois;A prison.;amenity=prison
2011;embassy;;;pois;An embassy.;amenity=embassy or office=diplomatic with diplomatic=embassy
2012;community_centre;;;pois;A public facility which is mostly used by local associations for events and festivities.;amenity=community_centre
2013;nursing_home;;;pois;A home for disabled or elderly persons who need permanent care.;amenity=nursing_home
2014;arts_centre;;;pois;A venue at which a variety of arts are performed or conducted, and may well be involved with the creation of those works, and run occasional courses.;amenity=arts_centre
2015;graveyard;;;pois;A graveyard.;amenity=grave_yard or landuse=cemetery
2016;market_place;;;pois;A place where markets are held.;amenity=marketplace
2017;consulate;;;pois;A consulate.;office=diplomatic with diplomatic=consulate
2030;recycling;;;pois;A place (usually a container) where you can drop waste for recycling.;amenity=recycling with none of the specifics below
2031;recycling_glass;;;pois;A place for recycling glass.;recycling:glass=yes or recycling:glass_bottles=yes
2032;recycling_paper;;;pois;A place for recycling paper.;recycling:paper=yes
2033;recycling_clothes;;;pois;A place for recycling clothes.;recycling:clothes=yes
2034;recycling_metal;;;pois;A place for recycling metal.;recycling:scrap_metal=yes
2081;university;;;pois;A university.;amenity=university
2082;school;;;pois;A school.;amenity=school
2083;kindergarten;;;pois;A kindergarten (nursery).;amenity=kindergarten
2084;college;;;pois;A college.;amenity=college
2099;public_building;;;pois;An unspecified public building.;amenity=public_building
2101;pharmacy;;;pois;A pharmacy.;amenity=pharmacy
2110;hospital;;;pois;A hospital.;amenity=hospital
2111;clinic;;;pois;A medical centre that does not admit inpatients.;amenity=clinic
2120;doctors;;;pois;A medical practice.;amenity=doctors
2121;dentist;;;pois;A dentist's practice.;amenity=dentist
