Offset_Hex,LOD_Level,NodeType,v1,v2,v3_or_Code,MinX,MinY,MaxX,MaxY,Raw_Hex
0x00,-,YZL Header,,,,,,,,595a4c0c401900000100000400000120829823c018a4c0e2a5ef7fbcb815be8f
0x20,0,SQT Header,,,Param:1,,,,,5351540101000000
0x28,0,Navigation Node,1,12,428,28.410845,53.708694,28.437307,53.718208,010000000c000000ac0100006949e341b4d556429b7fe34172df5642
0x44,0,Cluster Header,0,15,0,0.000000,0.000000,0.000000,0.000000,000000000f0000000000000000000000000000000000000000000000
0x60,0,Data Node,8,2,5122,28.415489,53.714157,28.416430,53.714413,0800000002000000ec52e3414cdb5642d954e3418fdb564202140000
0x7c,0,Data Node,92,3,5114,28.415985,53.715088,28.416513,53.715252,5c00000003000000f053e34140dc56420555e3416bdc5642fa130000
0x98,0,Data Node,152,4,5113,28.416206,53.714157,28.416430,53.714779,98000000040000006454e3414cdb5642d954e341efdb5642f9130000
0xb4,0,Data Node,244,5,5122,28.416275,53.708694,28.418741,53.712185,f4000000050000008854e341b4d556429559e34147d9564202140000
0xd0,0,Data Node,336,6,5122,28.421741,53.713505,28.424549,53.717087,5001000006000000ba5fe341a1da56427a65e3414cde564202140000
0xec,0,Data Node,412,1,5141,28.419533,53.715046,28.420874,53.715446,9c01000001000000345be34135dc5642f35de3419edc564215140000
0x108,0,Data Node,488,7,5122,28.413944,53.711647,28.415640,53.714325,e801000007000000c24fe341bad856423b53e34178db564202140000
0x124,0,Data Node,556,8,5122,28.424971,53.712559,28.430183,53.718208,2c020000080000005766e341a9d956420471e34172df564202140000
0x140,0,Data Node,632,9,5122,28.410845,53.711216,28.415430,53.712532,78020000090000006949e34149d85642cd52e341a2d9564202140000
0x15c,0,Data Node,700,10,5122,28.427485,53.710819,28.437307,53.715462,bc0200000a0000007d6be341e1d756429b7fe341a2dc564202140000
0x178,0,Data Node,848,11,5122,28.427177,53.711945,28.428001,53.713268,500300000b000000dc6ae34108d956428c6ce34163da564202140000
0x194,0,Data Node,900,12,5122,28.426041,53.711601,28.432184,53.713940,840300000c0000008868e341aed856421d75e34113db564202140000
0x1b0,0,Data Node,976,13,5124,28.415489,53.714413,28.415985,53.715252,d00300000d000000ec52e3418fdb5642f053e3416bdc564204140000
0x1cc,0,Data Node,1068,14,5115,28.422827,53.711823,28.424507,53.712315,2c0400000e000000f361e341e8d856426465e34169d95642fb130000
0x1e8,0,Navigation Node,1120,1,428,28.410715,53.711235,28.429132,53.717415,6004000001000000ac0100002549e3414ed85642dd6ee341a2de5642
0x204,0,Cluster Header,0,15,0,0.000000,0.000000,0.000000,0.000000,000000000f0000000000000000000000000000000000000000000000
0x220,0,Data Node,1120,15,5115,28.419592,53.712811,28.421219,53.713310,600400000f000000535be341ebd95642a85ee3416eda5642fb130000
0x23c,0,Data Node,1188,16,5122,28.421219,53.712811,28.421741,53.713505,a404000010000000a85ee341ebd95642ba5fe341a1da564202140000
0x258,0,Data Node,1248,17,5122,28.420094,53.713997,28.422735,53.717415,e0040000110000005a5ce34122db5642c361e341a2de564202140000
0x274,0,Data Node,1340,18,5122,28.423347,53.713036,28.426514,53.717331,3c050000120000000463e34126da56428069e3418cde564202140000
0x290,0,Data Node,1408,19,5122,28.418741,53.712185,28.419441,53.713097,80050000130000009559e34147d95642045be34136da564202140000
0x2ac,0,Data Node,1476,20,5122,28.422062,53.711235,28.422827,53.712315,c4050000140000006260e3414ed85642f361e34169d9564202140000
0x2c8,0,Data Node,1552,21,5122,28.417765,53.714710,28.419533,53.715446,10060000150000009557e341dddb5642345be3419edc564202140000
0x2e4,0,Data Node,1620,1,5141,28.428093,53.714035,28.429132,53.714893,5406000001000000bc6ce3412cdb5642dd6ee3410ddc564215140000
0x300,0,Data Node,1672,22,5115,28.423347,53.712559,28.424971,53.713036,88060000160000000463e341a9d956425766e34126da5642fb130000
0x31c,0,Data Node,1732,23,5115,28.418741,53.711716,28.420431,53.712185,c4060000170000009559e341ccd856420b5de34147d95642fb130000
0x338,0,Data Node,1808,24,5115,28.417765,53.713997,28.420094,53.714710,10070000180000009557e34122db56425a5ce341dddb5642fb130000
0x354,0,Data Node,1908,25,5115,28.416731,53.712582,28.417463,53.712807,74070000190000007755e341afd95642f756e341ead95642fb130000
0x370,0,Data Node,1968,26,5122,28.410715,53.714413,28.415489,53.715393,b00700001a0000002549e3418fdb5642ec52e34190dc564202140000
0x38c,0,Data Node,2020,27,5113,28.416687,53.715420,28.417273,53.716553,e40700001b0000006055e34197dc56429356e341c0dd5642f9130000
0x3a8,0,Navigation Node,2096,1,428,28.409777,53.711823,28.424971,53.715584,3008000001000000ac0100003947e341e8d856425766e341c2dc5642
0x3c4,0,Cluster Header,0,15,0,0.000000,0.000000,0.000000,0.000000,000000000f0000000000000000000000000000000000000000000000
0x3e0,0,Data Node,2096,28,5115,28.424507,53.711823,28.424971,53.712559,300800001c0000006465e341e8d856425766e341a9d95642fb130000
0x3fc,0,Data Node,2156,29,5122,28.409777,53.713009,28.416061,53.714909,6c0800001d0000003947e3411fda56421854e34111dc564202140000
0x418,0,Data Node,2288,30,5115,28.416513,53.714710,28.417765,53.715088,f00800001e0000000555e341dddb56429557e34140dc5642fb130000
0x434,0,Data Node,2348,31,5114,28.414591,53.715252,28.415985,53.715584,2c0900001f0000001551e3416bdc5642f053e341c2dc5642fa130000
0x450,0,Data Node,2416,1,5153,28.420481,53.712650,28.420937,53.712788,7009000001000000255de341c1d95642145ee341e5d9564221140000
0x46c,0,Data Node,2468,32,5115,28.416460,53.713818,28.417900,53.714142,a409000020000000e954e341f3da5642dc57e34148db5642fb130000
0x488,0,Data Node,2528,1,5141,28.421936,53.712593,28.423141,53.713001,e0090000010000002060e341b2d956429862e3411dda564215140000
0x4a4,0,Data Node,2596,1,5153,28.417109,53.713985,28.417477,53.714432,240a0000010000003d56e3411fdb5642fe56e34194db564221140000
0x4c0,0,Data Node,2656,1,5153,28.416353,53.714577,28.416981,53.715042,600a000001000000b154e341badb5642fa55e34134dc564221140000
0x4dc,0,Data Node,2724,1,5153,28.416910,53.714432,28.417179,53.714577,a40a000001000000d555e34194db56426256e341badb564221140000
0x4f8,0,Data Node,2816,1,5153,28.417179,53.714523,28.417683,53.714642,000b0000010000006256e341acdb56426a57e341cbdb564221140000
0x514,0,Data Node,2868,1,5153,28.417147,53.714291,28.417784,53.714481,340b0000010000005156e3416fdb56429f57e341a1db564221140000
0x530,0,Data Node,2928,1,5153,28.416248,53.714653,28.416428,53.714695,700b0000010000007a54e341cedb5642d854e341d9db564221140000
0x54c,0,Data Node,2988,1,5153,28.416281,53.714321,28.416910,53.714485,ac0b0000010000008b54e34177db5642d555e341a2db564221140000
0x568,0,Navigation Node,3048,1,428,28.411863,53.711716,28.422827,53.716179,e80b000001000000ac0100007f4be341ccd85642f361e3415edd5642
0x584,0,Cluster Header,0,15,0,0.000000,0.000000,0.000000,0.000000,000000000f0000000000000000000000000000000000000000000000
0x5a0,0,Data Node,3048,33,5113,28.416513,53.715088,28.416687,53.715420,e80b0000210000000555e34140dc56426055e34197dc5642f9130000
0x5bc,0,Data Node,3108,34,5113,28.416430,53.714142,28.416460,53.714157,240c000022000000d954e34148db5642e954e3414cdb5642f9130000
0x5d8,0,Data Node,3160,35,5122,28.420431,53.711716,28.421219,53.712811,580c0000230000000b5de341ccd85642a85ee341ebd9564202140000
